eu_id,date2,exp_year,dm_type,dm_gm2
34101,2019-11-13,y2_fall,grass_cl,NA
34101,2019-11-13,y2_fall,weeds,52.59
34101,2019-11-13,y2_fall,radish,NA
34101,2019-11-13,y2_fall,volunteer,NA
34102,2018-11-15,y1_fall,grass_cl,13.61
34102,2018-11-15,y1_fall,weeds,2.92
34102,2018-11-15,y1_fall,radish,NA
34102,2018-11-15,y1_fall,volunteer,119.55
34102,2019-11-13,y2_fall,grass_cl,33.1
34102,2019-11-13,y2_fall,weeds,46.37
34102,2019-11-13,y2_fall,radish,NA
34102,2019-11-13,y2_fall,volunteer,NA
34103,2018-11-15,y1_fall,grass_cl,NA
34103,2018-11-15,y1_fall,weeds,0
34103,2018-11-15,y1_fall,radish,197.45
34103,2018-11-15,y1_fall,volunteer,59.75
34103,2019-11-13,y2_fall,grass_cl,NA
34103,2019-11-13,y2_fall,weeds,17.99
34103,2019-11-13,y2_fall,radish,50.01
34103,2019-11-13,y2_fall,volunteer,NA
34104,2018-11-15,y1_fall,grass_cl,NA
34104,2018-11-15,y1_fall,weeds,0
34104,2018-11-15,y1_fall,radish,39.39
34104,2018-11-15,y1_fall,volunteer,171.82
34104,2019-11-13,y2_fall,grass_cl,NA
34104,2019-11-13,y2_fall,weeds,46.04
34104,2019-11-13,y2_fall,radish,13.7
34104,2019-11-13,y2_fall,volunteer,NA
34105,2018-11-15,y1_fall,grass_cl,4.15
34105,2018-11-15,y1_fall,weeds,1.81
34105,2018-11-15,y1_fall,radish,NA
34105,2018-11-15,y1_fall,volunteer,179.9
34105,2019-11-13,y2_fall,grass_cl,3.66
34105,2019-11-13,y2_fall,weeds,76.46
34105,2019-11-13,y2_fall,radish,NA
34105,2019-11-13,y2_fall,volunteer,NA
34301,2018-11-15,y1_fall,grass_cl,NA
34301,2018-11-15,y1_fall,weeds,2.97
34301,2018-11-15,y1_fall,radish,NA
34301,2018-11-15,y1_fall,volunteer,351.75
34301,2019-11-13,y2_fall,grass_cl,NA
34301,2019-11-13,y2_fall,weeds,63.7
34301,2019-11-13,y2_fall,radish,NA
34301,2019-11-13,y2_fall,volunteer,NA
34302,2018-11-15,y1_fall,grass_cl,38.97
34302,2018-11-15,y1_fall,weeds,29.64
34302,2018-11-15,y1_fall,radish,NA
34302,2018-11-15,y1_fall,volunteer,169.99
34302,2019-11-13,y2_fall,grass_cl,68.99
34302,2019-11-13,y2_fall,weeds,36.9
34302,2019-11-13,y2_fall,radish,NA
34302,2019-11-13,y2_fall,volunteer,NA
34303,2018-11-15,y1_fall,grass_cl,NA
34303,2018-11-15,y1_fall,weeds,0.89
34303,2018-11-15,y1_fall,radish,352.33
34303,2018-11-15,y1_fall,volunteer,54.04
34303,2019-11-13,y2_fall,grass_cl,NA
34303,2019-11-13,y2_fall,weeds,37.96
34303,2019-11-13,y2_fall,radish,60.55
34303,2019-11-13,y2_fall,volunteer,NA
34304,2018-11-15,y1_fall,grass_cl,NA
34304,2018-11-15,y1_fall,weeds,0.9
34304,2018-11-15,y1_fall,radish,65.69
34304,2018-11-15,y1_fall,volunteer,237.05
34304,2019-11-13,y2_fall,grass_cl,NA
34304,2019-11-13,y2_fall,weeds,97.15
34304,2019-11-13,y2_fall,radish,10.92
34304,2019-11-13,y2_fall,volunteer,NA
34305,2018-11-15,y1_fall,grass_cl,1.12
34305,2018-11-15,y1_fall,weeds,16.92
34305,2018-11-15,y1_fall,radish,NA
34305,2018-11-15,y1_fall,volunteer,308
34305,2019-11-13,y2_fall,grass_cl,8.81
34305,2019-11-13,y2_fall,weeds,82.53
34305,2019-11-13,y2_fall,radish,NA
34305,2019-11-13,y2_fall,volunteer,NA
34401,2018-11-15,y1_fall,grass_cl,NA
34401,2018-11-15,y1_fall,weeds,11.12
34401,2018-11-15,y1_fall,radish,NA
34401,2018-11-15,y1_fall,volunteer,178.17
34401,2019-11-13,y2_fall,grass_cl,NA
34401,2019-11-13,y2_fall,weeds,51.91
34401,2019-11-13,y2_fall,radish,NA
34401,2019-11-13,y2_fall,volunteer,NA
34402,2018-11-15,y1_fall,grass_cl,42.33
34402,2018-11-15,y1_fall,weeds,9.11
34402,2018-11-15,y1_fall,radish,NA
34402,2018-11-15,y1_fall,volunteer,130.11
34402,2019-11-13,y2_fall,grass_cl,56.15
34402,2019-11-13,y2_fall,weeds,55.35
34402,2019-11-13,y2_fall,radish,NA
